"Months_active","Distance_from_work","Age","Disciplined","Children","Social_drinker","Social_smoker","Pets","Weight","Height","BMI","Absent_hours"
11,7.56,36,0,2,0,1,4,65,174,21,8
1,4.66,31,0,1,1,0,8,68,178,21,8
18,2.36,50,0,1,1,0,0,98,178,31,120
12,4.7,48,0,1,0,1,5,88,163,33,1
9,3.58,30,0,0,0,0,0,56,171,19,5
3,7.22,28,0,1,1,0,4,80,172,27,7
14,3.1,34,0,2,1,0,0,95,196,25,1
18,3.58,38,0,0,1,0,0,89,170,31,1
4,6.6,28,0,0,0,0,0,84,182,25,24
9,3.58,30,0,0,0,0,0,56,171,19,8
18,3.58,38,0,0,1,0,0,89,170,31,2
18,2.36,50,0,1,1,0,0,98,178,31,1
10,2.36,37,0,0,0,0,0,83,172,28,2
10,2.36,37,0,0,0,0,0,83,172,28,3
18,3.58,38,0,0,1,0,0,89,170,31,2
13,3.78,33,0,2,0,0,2,69,167,25,8
13,3.78,33,0,2,0,0,2,69,167,25,8
6,3.14,29,0,0,1,1,0,75,185,22,16
10,2.36,37,0,0,0,0,0,83,172,28,8
12,5.82,40,0,1,1,0,1,73,171,25,8
18,3.58,38,0,0,1,0,0,89,170,31,4
12,7.38,31,0,3,1,0,0,70,169,25,8
14,3.1,34,0,2,1,0,0,95,196,25,5
15,4.5,41,0,2,1,0,2,94,182,28,2
9,4.5,28,0,1,0,0,2,69,169,24,2
10,2.36,37,0,0,0,0,0,83,172,28,2
13,5.78,33,1,2,1,0,1,90,172,30,0
1,4.66,31,0,1,1,0,8,68,178,21,3
14,5.58,39,1,2,1,1,0,68,168,24,0
4,6.6,28,0,0,0,0,0,84,182,25,4
16,4.56,58,0,2,0,0,1,65,172,22,1
4,6.6,28,0,0,0,0,0,84,182,25,8
13,4.7,43,0,1,1,0,0,106,167,38,8
13,5.78,33,0,2,1,0,1,90,172,30,16
18,3.58,38,0,0,1,0,0,89,170,31,8
11,5.2,36,0,4,1,0,0,65,168,23,8
6,3.14,29,0,0,1,1,0,75,185,22,2
4,6.6,28,0,0,0,0,0,84,182,25,8
13,5.78,33,0,2,1,0,1,90,172,30,4
10,2.36,37,0,0,0,0,0,83,172,28,8
16,4.92,41,0,0,1,0,0,67,170,23,8
12,5.82,40,0,1,1,0,1,73,171,25,4
1,4.66,31,0,1,1,0,8,68,178,21,2
13,5.78,33,0,2,1,0,1,90,172,30,8
12,5.82,40,0,1,1,0,1,73,171,25,2
18,3.58,38,0,0,1,0,0,89,170,31,2
16,4.92,41,1,0,1,0,0,67,170,23,0
18,3.58,38,0,0,1,0,0,89,170,31,3
12,5.82,40,0,1,1,0,1,73,171,25,2
12,7.38,31,0,3,1,0,0,70,169,25,8
18,3.58,38,0,0,1,0,0,89,170,31,4
14,4.96,47,0,2,0,0,1,86,165,32,3
11,5.2,36,0,4,1,0,0,65,168,23,4
14,4.96,47,0,2,0,0,1,86,165,32,2
18,3.58,38,0,0,1,0,0,89,170,31,8
10,2.36,37,0,0,0,0,0,83,172,28,32
18,3.58,38,0,0,1,0,0,89,170,31,3
13,4.7,43,1,1,1,0,0,106,167,38,0
14,4.96,47,1,2,0,0,1,86,165,32,0
9,3.58,30,0,0,0,0,0,56,171,19,2
8,4.7,32,0,0,0,0,0,75,178,25,8
13,6,43,0,2,1,1,1,77,175,25,8
18,2.36,50,0,1,1,0,0,98,178,31,2
4,6.6,28,0,0,0,0,0,84,182,25,16
12,5.82,40,0,1,1,0,1,73,171,25,4
16,4.56,58,0,2,0,0,1,65,172,22,2
18,3.58,38,0,0,1,0,0,89,170,31,24
16,4.92,41,0,0,1,0,0,67,170,23,16
14,4.96,47,0,2,0,0,1,86,165,32,1
9,4.5,28,0,1,0,0,2,69,169,24,8
18,2.36,50,1,1,1,0,0,98,178,31,0
18,2.36,50,0,1,1,0,0,98,178,31,3
18,3.58,38,0,0,1,0,0,89,170,31,1
3,7.22,28,0,1,1,0,4,80,172,27,2
3,7.22,28,0,1,1,0,4,80,172,27,8
10,2.36,37,0,0,0,0,0,83,172,28,4
18,2.36,50,0,1,1,0,0,98,178,31,2
18,2.36,50,0,1,1,0,0,98,178,31,8
18,3.58,38,0,0,1,0,0,89,170,31,24
13,5.78,33,0,2,1,0,1,90,172,30,8
3,7.22,28,0,1,1,0,4,80,172,27,8
12,7.38,31,0,3,1,0,0,70,169,25,8
13,5.78,33,0,2,1,0,1,90,172,30,1
18,3.58,38,0,0,1,0,0,89,170,31,2
9,4.5,28,1,1,0,0,2,69,169,24,0
9,4.5,28,0,1,0,0,2,69,169,24,3
1,4.66,31,0,1,1,0,8,68,178,21,8
29,5.78,49,0,0,0,0,2,108,172,36,1
9,4.5,28,0,1,0,0,2,69,169,24,4
18,3.58,38,0,0,1,0,0,89,170,31,3
9,3.58,30,0,0,0,0,0,56,171,19,8
11,5.2,36,0,4,1,0,0,65,168,23,16
13,5.78,33,0,2,1,0,1,90,172,30,8
13,5.78,33,0,2,1,0,1,90,172,30,8
17,3.58,40,0,2,0,1,0,63,170,22,1
9,4.5,28,0,1,0,0,2,69,169,24,8
24,2.36,46,0,2,1,1,0,75,175,25,8
9,3.58,30,0,0,0,0,0,56,171,19,64
14,3.1,34,0,2,1,0,0,95,196,25,2
12,5.82,40,0,1,1,0,1,73,171,25,2
12,5.82,40,0,1,1,0,1,73,171,25,2
9,3.58,30,0,0,0,0,0,56,171,19,2
14,4.96,47,0,2,0,0,1,86,165,32,2
9,3.58,30,0,0,0,0,0,56,171,19,2
16,4.92,41,0,0,1,0,0,67,170,23,2
3,7.22,28,0,1,1,0,4,80,172,27,1
14,4.96,47,0,2,0,0,1,86,165,32,4
12,7.38,31,1,3,1,0,0,70,169,25,0
6,3.14,29,0,0,1,1,0,75,185,22,3
14,3.1,34,0,2,1,0,0,95,196,25,8
14,4.96,47,0,2,0,0,1,86,165,32,3
18,3.58,38,0,0,1,0,0,89,170,31,8
13,4.7,43,0,1,1,0,0,106,167,38,8
14,4.96,47,0,2,0,0,1,86,165,32,1
9,4.5,28,0,1,0,0,2,69,169,24,2
18,3.58,38,0,0,1,0,0,89,170,31,2
12,5.82,32,1,0,1,0,0,65,169,23,0
10,2.36,37,0,0,0,0,0,83,172,28,56
18,3.58,38,0,0,1,0,0,89,170,31,2
10,2.36,37,0,0,0,0,0,83,172,28,3
12,5.82,40,0,1,1,0,1,73,171,25,2
12,7.38,31,0,3,1,0,0,70,169,25,8
14,4.96,47,0,2,0,0,1,86,165,32,2
13,5.78,33,0,2,1,0,1,90,172,30,8
9,3.58,30,0,0,0,0,0,56,171,19,2
9,4.5,28,0,1,0,0,2,69,169,24,3
13,3.78,33,0,2,0,0,2,69,167,25,16
11,5.2,36,1,4,1,0,0,65,168,23,0
11,5.2,36,0,4,1,0,0,65,168,23,56
11,5.2,36,0,4,1,0,0,65,168,23,3
9,4.5,28,0,1,0,0,2,69,169,24,8
12,5.82,40,0,1,1,0,1,73,171,25,3
3,7.22,28,0,1,1,0,4,80,172,27,8
